"",".metric",".estimator",".estimate","model","dataset","value_round"
"288","mase","standard",1.15093079136636,"ets_xls","M33254",1.151
"289","mpe","standard",-9.09870826344592,"ets_xls","M33254",-9.099
"290","rmse","standard",665.629587319783,"ets_xls","M33254",665.63
"291","mape","standard",8.04723873141326,"ARIMA","M33254",8.047
"292","smape","standard",7.64862148946519,"ARIMA","M33254",7.649
"293","mase","standard",0.825130853016385,"ARIMA","M33254",0.825
"294","mpe","standard",-4.37874148782464,"ARIMA","M33254",-4.379
"295","rmse","standard",430.326710018498,"ARIMA","M33254",430.327
"296","mape","standard",7.69092252879385,"prophet","M33254",7.691
"297","smape","standard",7.68118536140345,"prophet","M33254",7.681
"298","mase","standard",0.829853962420022,"prophet","M33254",0.83
"299","mpe","standard",0.0908014000749592,"prophet","M33254",0.091
"300","rmse","standard",392.964633697428,"prophet","M33254",392.965
