"",".metric",".estimator",".estimate","model","dataset","description","value_round"
"100","mae","standard",11.5400362067998,"ets_xls","M213","OTHER PRIVATE INDUSTRY GERMANY",11.54
"101","mpe","standard",-10.4403368273069,"ets_xls","M213","OTHER PRIVATE INDUSTRY GERMANY",-10.44
"102","mape","standard",11.6377777331357,"ets_xls","M213","OTHER PRIVATE INDUSTRY GERMANY",11.638
"103","smape","standard",10.8382445984785,"ets_xls","M213","OTHER PRIVATE INDUSTRY GERMANY",10.838
"104","mase","standard",1.01385331015813,"ets_xls","M213","OTHER PRIVATE INDUSTRY GERMANY",1.014
"105","rmse","standard",16.3519650969129,"prophet","M213","OTHER PRIVATE INDUSTRY GERMANY",16.352
"106","rsq","standard",0.315357653786833,"prophet","M213","OTHER PRIVATE INDUSTRY GERMANY",0.315
"107","msd","standard",-14.6539449563632,"prophet","M213","OTHER PRIVATE INDUSTRY GERMANY",-14.654
"108","mae","standard",14.9417812805126,"prophet","M213","OTHER PRIVATE INDUSTRY GERMANY",14.942
"109","mpe","standard",-14.7837624935543,"prophet","M213","OTHER PRIVATE INDUSTRY GERMANY",-14.784
"110","mape","standard",15.0212512098492,"prophet","M213","OTHER PRIVATE INDUSTRY GERMANY",15.021
"111","smape","standard",13.743157985843,"prophet","M213","OTHER PRIVATE INDUSTRY GERMANY",13.743
"112","mase","standard",1.31271463446364,"prophet","M213","OTHER PRIVATE INDUSTRY GERMANY",1.313
"113","rmse","standard",157.793103599427,"ets_xls","M232","FRANCE PRIVATE INDUSTRIE FRANCE",157.793
"114","rsq","standard",0.698572206111919,"ets_xls","M232","FRANCE PRIVATE INDUSTRIE FRANCE",0.699
"115","msd","standard",-58.3533184270495,"ets_xls","M232","FRANCE PRIVATE INDUSTRIE FRANCE",-58.353
"116","mae","standard",118.18569071613,"ets_xls","M232","FRANCE PRIVATE INDUSTRIE FRANCE",118.186
"117","mpe","standard",-3.10596425221907,"ets_xls","M232","FRANCE PRIVATE INDUSTRIE FRANCE",-3.106
"118","mape","standard",5.45860015631865,"ets_xls","M232","FRANCE PRIVATE INDUSTRIE FRANCE",5.459
"119","smape","standard",5.22262101726195,"ets_xls","M232","FRANCE PRIVATE INDUSTRIE FRANCE",5.223
"120","mase","standard",0.505544894665195,"ets_xls","M232","FRANCE PRIVATE INDUSTRIE FRANCE",0.506
"121","rmse","standard",148.35545530786,"prophet","M232","FRANCE PRIVATE INDUSTRIE FRANCE",148.355
"122","rsq","standard",0.685773652704946,"prophet","M232","FRANCE PRIVATE INDUSTRIE FRANCE",0.686
"123","msd","standard",-23.6284744452852,"prophet","M232","FRANCE PRIVATE INDUSTRIE FRANCE",-23.628
"124","mae","standard",112.151160643886,"prophet","M232","FRANCE PRIVATE INDUSTRIE FRANCE",112.151
"125","mpe","standard",-1.51753026039015,"prophet","M232","FRANCE PRIVATE INDUSTRIE FRANCE",-1.518
"126","mape","standard",5.0304806872748,"prophet","M232","FRANCE PRIVATE INDUSTRIE FRANCE",5.03
"127","smape","standard",4.92115543414407,"prophet","M232","FRANCE PRIVATE INDUSTRIE FRANCE",4.921
"128","mase","standard",0.479731906212526,"prophet","M232","FRANCE PRIVATE INDUSTRIE FRANCE",0.48
"129","rmse","standard",125.965998543564,"ets_xls","M233","FRANCE PRIVATE INDUSTRY FRANCE",125.966
"130","rsq","standard",0.918863255562838,"ets_xls","M233","FRANCE PRIVATE INDUSTRY FRANCE",0.919
"131","msd","standard",-38.0951698585821,"ets_xls","M233","FRANCE PRIVATE INDUSTRY FRANCE",-38.095
"132","mae","standard",107.24865352808,"ets_xls","M233","FRANCE PRIVATE INDUSTRY FRANCE",107.249
"133","mpe","standard",-1.47687940417707,"ets_xls","M233","FRANCE PRIVATE INDUSTRY FRANCE",-1.477
"134","mape","standard",3.42202474554521,"ets_xls","M233","FRANCE PRIVATE INDUSTRY FRANCE",3.422
"135","smape","standard",3.38007393320043,"ets_xls","M233","FRANCE PRIVATE INDUSTRY FRANCE",3.38
"136","mase","standard",0.431447264917118,"ets_xls","M233","FRANCE PRIVATE INDUSTRY FRANCE",0.431
"137","rmse","standard",206.885423534053,"prophet","M233","FRANCE PRIVATE INDUSTRY FRANCE",206.885
"138","rsq","standard",0.906062885914955,"prophet","M233","FRANCE PRIVATE INDUSTRY FRANCE",0.906
"139","msd","standard",50.3669701933888,"prophet","M233","FRANCE PRIVATE INDUSTRY FRANCE",50.367
"140","mae","standard",172.843192333823,"prophet","M233","FRANCE PRIVATE INDUSTRY FRANCE",172.843
"141","mpe","standard",0.848727131160526,"prophet","M233","FRANCE PRIVATE INDUSTRY FRANCE",0.849
"142","mape","standard",5.33494159380305,"prophet","M233","FRANCE PRIVATE INDUSTRY FRANCE",5.335
"143","smape","standard",5.39105622091535,"prophet","M233","FRANCE PRIVATE INDUSTRY FRANCE",5.391
"144","mase","standard",0.695325490239809,"prophet","M233","FRANCE PRIVATE INDUSTRY FRANCE",0.695
"145","rmse","standard",165.5490554882,"ets_xls","M234","FRANCE PRIVATE INDUSTRY FRANCE",165.549
"146","rsq","standard",0.210221351191484,"ets_xls","M234","FRANCE PRIVATE INDUSTRY FRANCE",0.21
"147","msd","standard",102.899572784263,"ets_xls","M234","FRANCE PRIVATE INDUSTRY FRANCE",102.9
"148","mae","standard",123.252307163493,"ets_xls","M234","FRANCE PRIVATE INDUSTRY FRANCE",123.252
"149","mpe","standard",6.95751094768053,"ets_xls","M234","FRANCE PRIVATE INDUSTRY FRANCE",6.958
